Window_index,Stage,MAE,SD of absolute error,MAPE,RMSE,Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,1496.56,1190.2,3.08,1910.42,90.28,212,0,0,57.48476958274841,1
2,Inferencing,1454.14,1166.72,3.02,1862.65,91.2,212,0,0,1.0432238578796387,1
3,Inferencing,1418.54,1158.05,2.96,1829.51,91.2,212,0,0,1.1137292385101318,1
4,Inferencing,1376.72,1140.34,2.89,1785.98,92.13,212,0,0,1.0846238136291504,1
5,Inferencing,1360.17,1137.95,2.88,1771.72,92.59,212,0,0,1.0639877319335938,1
6,Inferencing,1392.78,1148.46,2.99,1803.52,91.67,212,0,0,1.0595717430114746,1
7,Inferencing,1379.99,1143.41,2.97,1790.45,92.59,212,0,0,1.072239875793457,1
8,Inferencing,1356.65,1149.82,2.93,1776.64,92.13,212,0,0,1.0478312969207764,1
9,Inferencing,1378.2,1145.1,3.00,1790.15,92.13,212,0,0,1.1431591510772705,1
10,Inferencing,1375.42,1135.02,3.00,1781.6,93.06,212,0,0,1.0423738956451416,1
11,Inferencing,1340.88,1120.09,2.94,1745.49,93.52,212,0,0,1.0479354858398438,1
12,Inferencing,1408.8,1313.53,3.12,1924.08,91.67,212,0,0,1.0698037147521973,1
13,Inferencing,1428.36,1386.37,3.19,1988.3,90.28,210,2,0,5.144019842147827,1
14,Inferencing,1474.26,1411.7,3.31,2038.9,87.96,212,0,0,1.0839767456054688,1
15,Inferencing,1534.18,1427.77,3.45,2093.51,86.11,212,0,0,1.072657585144043,1
16,Inferencing,1532.18,1357.27,3.47,2044.81,86.11,212,0,0,1.0802595615386963,1
17,Inferencing,1488.98,1285.06,3.40,1964.89,87.5,212,0,0,1.0779516696929932,1
18,Inferencing,1436.02,1258.72,3.29,1907.67,89.81,212,0,0,1.0467958450317383,1
19,Inferencing,1334.61,1230.2,3.08,1813.17,90.74,212,0,0,1.062645435333252,1
20,Inferencing,1312.82,1208.59,3.03,1782.53,91.67,211,1,0,0.9917631149291992,1
21,Inferencing,1322.71,1232.65,3.05,1806.09,91.2,211,0,1,25.82698106765747,4
22,Inferencing,1410.03,1419.14,3.21,1998.21,89.81,212,0,0,0.8351809978485107,4
23,Inferencing,1479.04,1473.7,3.35,2085.49,87.96,212,0,0,1.0683965682983398,4
24,Inferencing,1601.32,1674.98,3.57,2314.48,86.11,212,0,0,1.0845932960510254,4
25,Inferencing,1763.83,1389.45,3.96,2243.37,85.19,211,0,1,10.422518968582153,4
26,Inferencing,1643.56,1215.46,3.70,2042.5,83.8,212,0,0,1.0783982276916504,4
27,Inferencing,1556.42,1209.71,3.48,1969.53,85.19,212,0,0,1.074903964996338,4
28,Inferencing,1513.53,1176.96,3.39,1915.62,88.89,212,0,0,1.0876495838165283,4
29,Inferencing,1428.29,1203.37,3.19,1865.86,89.35,212,0,0,1.1049785614013672,4
30,Inferencing,1425.2,1179.56,3.18,1848.27,92.13,212,0,0,0.9672918319702148,4
31,Inferencing,1394.56,1148.44,3.11,1804.89,93.06,212,0,0,0.22911572456359863,4
32,Inferencing,1403.69,1153.05,3.12,1814.86,92.59,212,0,0,0.24621200561523438,4
33,Inferencing,1381.63,1141.95,3.08,1790.78,93.06,212,0,0,0.23319292068481445,4
34,Inferencing,1386.4,1143.91,3.09,1795.71,93.06,212,0,0,0.2333536148071289,4
35,Inferencing,1359.81,1148.93,3.04,1778.49,93.06,212,0,0,0.31236696243286133,4
36,Inferencing,1374.71,1151.58,3.07,1791.6,93.06,212,0,0,0.22295856475830078,4
37,Inferencing,1406.39,1153.96,3.13,1817.52,93.06,212,0,0,0.24898242950439453,4
38,Inferencing,1403.53,1155.53,3.12,1816.3,93.06,212,0,0,0.226792573928833,4
39,Inferencing,1432.38,1152.45,3.18,1836.77,93.06,212,0,0,0.2359752655029297,4
40,Inferencing,1455.87,1144.77,3.23,1850.4,93.06,212,0,0,0.22095561027526855,4
41,Inferencing,1522.43,1188.42,3.37,1929.66,91.67,212,0,0,0.22161650657653809,4
42,Inferencing,1576.41,1278.86,3.46,2028.06,90.28,212,0,0,0.254300594329834,4
43,Inferencing,1620.81,1318.57,3.54,2087.49,88.43,212,0,0,0.2248232364654541,4
44,Inferencing,1621.11,1321.0,3.53,2089.25,88.43,212,0,0,0.22616958618164062,4
45,Inferencing,1595.59,1332.1,3.47,2076.58,88.43,212,0,0,0.22779035568237305,4
46,Inferencing,1584.78,1326.43,3.44,2064.65,88.89,212,0,0,0.22586798667907715,4
47,Inferencing,1625.72,1341.61,3.53,2105.84,87.5,212,0,0,0.22727537155151367,4
48,Inferencing,1660.61,1351.41,3.60,2139.04,87.04,212,0,0,0.22119545936584473,4
49,Inferencing,1728.37,1452.61,3.72,2255.57,85.19,212,0,0,0.2634589672088623,4
50,Inferencing,1794.51,1501.87,3.86,2337.82,83.33,212,0,0,0.22362112998962402,4
51,Inferencing,1859.21,1530.71,3.99,2406.01,81.48,212,0,0,0.21840596199035645,4
52,Inferencing,1936.31,1580.88,4.14,2497.38,79.63,212,0,0,0.23724985122680664,4
53,Inferencing,2003.37,1643.78,4.25,2589.02,77.78,212,0,0,0.24052095413208008,4
54,Inferencing,2026.06,1630.76,4.29,2598.45,77.78,212,0,0,0.26905083656311035,4
55,Inferencing,2039.17,1625.41,4.31,2605.37,77.78,212,0,0,0.2353532314300537,4
56,Inferencing,2083.84,1637.98,4.42,2648.2,76.85,212,0,0,0.22554564476013184,4
57,Inferencing,2190.08,1745.42,4.66,2798.0,75.0,212,0,0,0.22658205032348633,4
58,Inferencing,2339.1,1950.26,4.99,3042.58,73.15,212,0,0,0.22413897514343262,4
59,Inferencing,2068.14,1727.72,4.54,2692.28,75.93,210,2,0,0.9302585124969482,4
60,Inferencing,2019.35,1845.36,4.40,2732.65,77.78,208,2,2,33.630754232406616,7
61,Inferencing,1930.43,1722.4,4.19,2584.47,78.7,208,0,4,67.67746353149414,19
62,Inferencing,1871.89,1713.92,4.03,2535.33,79.63,208,0,4,116.31943893432617,31
