Window_index,Stage,MAE,SD of absolute error,MAPE,RMSE,Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,7552.7,664.67,21.23,7574.6,0.0,206,6,0,74.20024561882019,1
2,Inferencing,6461.39,297.34,18.21,6466.52,0.0,212,0,0,1.4624826908111572,1
3,Inferencing,3763.69,1019.02,10.31,3865.77,25.0,212,0,0,1.4568579196929932,1
4,Inferencing,3113.83,591.86,8.43,3155.74,50.0,212,0,0,1.4264278411865234,1
5,Inferencing,3036.14,751.62,8.26,3105.13,75.0,212,0,0,1.3332784175872803,1
6,Inferencing,3864.27,145.44,10.84,3866.32,0.0,212,0,0,1.3887741565704346,1
7,Inferencing,2343.93,866.27,6.46,2461.06,75.0,212,0,0,1.4071309566497803,1
8,Inferencing,439.8,218.38,1.16,478.74,100.0,212,0,0,1.283515453338623,1
9,Inferencing,1159.05,436.1,3.14,1219.03,100.0,212,0,0,1.4885282516479492,1
10,Inferencing,687.24,528.54,1.86,825.72,100.0,212,0,0,1.4575412273406982,1
11,Inferencing,233.48,131.23,0.62,259.67,100.0,212,0,0,1.4368619918823242,1
12,Inferencing,5429.89,3259.35,12.20,6119.74,25.0,212,0,0,1.4368155002593994,1
13,Inferencing,6093.43,1068.14,13.07,6163.25,0.0,211,0,1,32.69401478767395,4
14,Inferencing,822.19,519.64,1.79,937.29,100.0,212,0,0,1.4693045616149902,4
15,Inferencing,645.24,930.5,1.33,1032.33,100.0,212,0,0,1.4674956798553467,4
16,Inferencing,547.05,500.22,1.14,697.8,100.0,212,0,0,1.4694690704345703,4
17,Inferencing,708.25,497.26,1.50,828.9,100.0,212,0,0,1.4373955726623535,4
18,Inferencing,868.6,492.7,1.91,967.75,100.0,212,0,0,1.3724069595336914,4
19,Inferencing,939.94,577.38,2.07,1064.67,100.0,212,0,0,1.4334611892700195,4
20,Inferencing,624.12,398.61,1.35,713.23,100.0,212,0,0,1.302276611328125,4
21,Inferencing,2266.59,1300.26,4.62,2530.9,75.0,212,0,0,1.3205440044403076,4
22,Inferencing,3864.16,1500.58,7.51,4076.83,50.0,212,0,0,1.3981873989105225,4
23,Inferencing,2829.64,1902.35,5.45,3274.3,75.0,212,0,0,1.4804208278656006,4
24,Inferencing,4669.59,859.9,8.66,4728.6,0.0,212,0,0,1.4528980255126953,4
25,Inferencing,717.32,620.34,1.34,896.19,100.0,212,0,0,1.4376015663146973,4
26,Inferencing,901.08,834.8,1.69,1155.25,100.0,212,0,0,1.4499189853668213,4
27,Inferencing,2054.23,896.51,3.76,2196.05,75.0,212,0,0,1.2814629077911377,4
28,Inferencing,1138.13,555.09,2.17,1235.49,100.0,212,0,0,1.4254734516143799,4
29,Inferencing,2212.75,1197.6,4.27,2443.76,50.0,211,0,1,11.655778408050537,4
30,Inferencing,3692.36,2009.37,7.37,4081.88,25.0,211,0,1,20.696425676345825,6
31,Inferencing,973.96,624.93,1.91,1114.23,100.0,212,0,0,34.801408767700195,6
32,Inferencing,824.89,633.45,1.59,990.65,100.0,212,0,0,35.21451473236084,6
33,Inferencing,1057.93,1203.19,2.01,1484.92,100.0,212,0,0,34.65089154243469,6
34,Inferencing,1158.11,260.4,2.35,1179.86,100.0,212,0,0,34.68907141685486,6
35,Inferencing,429.57,157.28,0.88,450.64,100.0,212,0,0,35.93761396408081,6
36,Inferencing,1448.24,384.34,2.94,1486.0,100.0,212,0,0,35.666786193847656,6
37,Inferencing,671.56,302.42,1.33,720.82,100.0,212,0,0,35.50457000732422,6
38,Inferencing,703.49,336.44,1.42,761.44,100.0,212,0,0,35.032100200653076,6
39,Inferencing,294.5,408.94,0.60,460.6,100.0,212,0,0,33.66046929359436,6
40,Inferencing,1236.12,229.08,2.59,1251.94,100.0,212,0,0,35.17557382583618,6
41,Inferencing,181.99,211.96,0.38,258.48,100.0,212,0,0,34.61397671699524,6
42,Inferencing,859.27,479.87,1.73,954.49,100.0,212,0,0,36.13393497467041,6
43,Inferencing,313.02,252.58,0.63,381.88,100.0,212,0,0,35.70423722267151,6
44,Inferencing,873.63,826.57,1.80,1129.45,100.0,212,0,0,34.90203595161438,6
45,Inferencing,1874.52,281.74,3.98,1890.33,100.0,212,0,0,35.21106719970703,6
46,Inferencing,1331.65,189.82,2.85,1341.75,100.0,212,0,0,36.04332375526428,6
47,Inferencing,1687.47,776.03,3.61,1816.37,100.0,212,0,0,36.21288347244263,6
48,Inferencing,1060.03,792.05,2.28,1262.61,100.0,212,0,0,36.38308668136597,6
49,Inferencing,387.25,233.05,0.82,436.69,100.0,212,0,0,35.824979066848755,6
50,Inferencing,245.65,174.88,0.52,288.59,100.0,212,0,0,34.124698638916016,6
51,Inferencing,401.94,330.45,0.85,493.41,100.0,212,0,0,34.23564171791077,6
52,Inferencing,1188.02,1391.26,2.43,1692.07,100.0,212,0,0,32.54714846611023,6
53,Inferencing,2267.5,380.41,4.62,2291.31,100.0,212,0,0,34.28290677070618,6
54,Inferencing,1172.44,656.29,2.54,1302.94,100.0,212,0,0,33.4698212146759,6
55,Inferencing,786.11,694.52,1.76,989.82,100.0,212,0,0,32.468586921691895,6
56,Inferencing,3021.77,1994.03,7.67,3480.4,50.0,212,0,0,33.85664677619934,6
57,Inferencing,857.33,493.51,2.02,957.95,100.0,212,0,0,34.52295422554016,6
58,Inferencing,1036.83,307.38,2.34,1070.46,100.0,212,0,0,32.4700825214386,6
59,Inferencing,2352.12,373.15,4.93,2374.21,100.0,212,0,0,34.339123249053955,6
60,Inferencing,2481.12,897.26,4.80,2599.96,50.0,212,0,0,34.67981219291687,6
61,Inferencing,1043.9,711.28,2.02,1212.09,100.0,212,0,0,32.7105233669281,6
62,Inferencing,259.0,118.75,0.50,278.67,100.0,212,0,0,33.17125654220581,6
63,Inferencing,551.72,377.61,1.07,641.36,100.0,212,0,0,32.28800344467163,6
64,Inferencing,1352.1,990.76,2.57,1601.37,100.0,212,0,0,31.9369957447052,6
65,Inferencing,4122.8,968.41,7.27,4197.94,0.0,212,0,0,32.06256580352783,6
